,title,price,registration,km,displacement,hp,fuel,transmission,category,location,link,brand,town,model
3965,  Hyundai i 10 '15  1.2 Sport BLACK-MATT,10690,12/2015,118725,1248,87,Petrol,Manual,Other, PERISTERI 12134,https://www.car.gr/classifieds/cars/view/324257771-hyundai-i-10?lang=en,Hyundai,PERISTERI,Unknown
3966,  Suzuki Vitara '16  1.6 DDiS GI 4X4 Tcss AYTOMATO F1,18990,05/2016,139200,1598,120,Diesel,Automatic,4x4/Jeep/Suv, PERISTERI 12134,https://www.car.gr/classifieds/cars/view/328115692-suzuki-vitara?lang=en,Suzuki,PERISTERI,Vitara
3967,  Citroen C1 '16 1.0i VTI FEEL Itouch ΕΛΛΗΝΙΚΟ,8900,04/2016,108814,998000,69,Petrol,Manual,Other, PERISTERI 12134,https://www.car.gr/classifieds/cars/view/330590143-citroen-c1?lang=en,Citroen,PERISTERI,C1
3968,  Opel Corsa '08 1.2 AYTOMATO 5/D,6900,04/2008,187286,1200,75,Petrol,Automatic,Other, PERISTERI 12134,https://www.car.gr/classifieds/cars/view/329170062-opel-corsa?lang=en,Opel,PERISTERI,Corsa
3969,  Peugeot 308 '18  AYTOMATO 1.6 BlueHDi Allure 120 IΠΠΟΙ,16400,02/2018,109556,1560,120,Diesel,Automatic,Compact/Hatchback, PERISTERI 12134,https://www.car.gr/classifieds/cars/view/330239480-peugeot-308?lang=en,Peugeot,PERISTERI,308
3970,  Volkswagen Golf '18 1.6 TDI CONNECT AYTOMATO NAVI,17800,07/2018,140608,1598,116,Diesel,Automatic,Compact/Hatchback, PERISTERI 12134,https://www.car.gr/classifieds/cars/view/330588012-volkswagen-golf?lang=en,Volkswagen,PERISTERI,Golf
3971,  Bmw X1 '16  xDrive20d 190 PS,25990,03/2016,132598,1995,190,Diesel,Manual,4x4/Jeep/Suv, PERISTERI 12134,https://www.car.gr/classifieds/cars/view/330542125-bmw-x1?lang=en,Bmw,PERISTERI,X1
3972,  Ford Fiesta '18  1.5 TDCi Trend NAVI,12990,01/2018,129718,1499,85,Diesel,Manual,Coupe-Sport, PERISTERI 12134,https://www.car.gr/classifieds/cars/view/331094284-ford-fiesta?lang=en,Ford,PERISTERI,Fiesta
3973,  Volkswagen Golf '16   1.6 TDI BMT Allstar DSG NAVI,17500,03/2016,103910,1598,110,Diesel,Automatic,Coupe-Sport, PERISTERI 12134,https://www.car.gr/classifieds/cars/view/331262553-volkswagen-golf?lang=en,Volkswagen,PERISTERI,Golf
3974,  Ford Fiesta '15  1.5 TDCi Start/Stopp Trend NAVI,9500,12/2015,150579,1499,95,Diesel,Manual,Coupe-Sport, PERISTERI 12134,https://www.car.gr/classifieds/cars/view/331294910-ford-fiesta?lang=en,Ford,PERISTERI,Fiesta
3975,  Citroen C3 Aircross '18 1.6 Blue HDi Shine Grip Δερμα,16990,02/2018,93000,1560,100,Diesel,Manual,4x4/Jeep/Suv, PERISTERI 12134,https://www.car.gr/classifieds/cars/view/325919066-citroen-c3-aircross?lang=en,Citroen,PERISTERI,C3 Aircross
3976,  Mercedes-Benz A 180 '16  BlueEFFICIENCY Edition 109PS ,17900,05/2016,107755,1461,109,Diesel,Manual,Coupe-Sport, PERISTERI 12134,https://www.car.gr/classifieds/cars/view/330542281-mercedes-benz-a-180?lang=en,Mercedes-benz,PERISTERI,A 180
3977,  Ford Focus '19  Active 1.5 EcoBlue 120 PS,16500,01/2019,122303,1499,120,Diesel,Manual,Compact/Hatchback, PERISTERI 12134,https://www.car.gr/classifieds/cars/view/330591359-ford-focus?lang=en,Ford,PERISTERI,Focus
3978,  Toyota Yaris '16 1.33 Dual VVT-i Active οθονη,12500,08/2016,126538,1329,100,Petrol,Manual,Compact/Hatchback, PERISTERI 12134,https://www.car.gr/classifieds/cars/view/330308455-toyota-yaris?lang=en,Toyota,PERISTERI,Yaris
3979,  Hyundai Tucson '18 1.7 D GLS AYTOMATO NAVI 141 PS ΕΛΛΗΝΙΚΟ,24990,03/2018,118818,1685,141,Diesel,Automatic,4x4/Jeep/Suv, PERISTERI 12134,https://www.car.gr/classifieds/cars/view/326887625-hyundai-tucson?lang=en,Hyundai,PERISTERI,Tucson
