,title,price,registration,km,displacement,hp,fuel,transmission,category,location,link,brand,town,model,zip_codes
4064,  Ford C-Max '12 EURO5D!!ΚΛΙΜΑ STAR STOP DIESEL!!!!,9499,07/2012,133985,1600,90,Diesel,Manual,Limousine/Sedan, ARGOS 21200,https://www.car.gr/classifieds/cars/view/330556433-ford-c-max?lang=en,Ford,ARGOS,C-Max,21200
4065,  Suzuki Vitara '17 1.4 BoosterJet TURBO S 4x4 Αutomatic F1!!!,18499,04/2017,160056,1400,140,Petrol,Automatic,4x4/Jeep/Suv, ARGOS 21200,https://www.car.gr/classifieds/cars/view/328163962-suzuki-vitara?lang=en,Suzuki,ARGOS,Vitara,21200
4066,  Volkswagen Amarok '13 180Ps!4x4!!Highline derma navi klima,21000,10/2013,172477,1968,180,Diesel,Manual,Crew Cab/Pickup, ARGOS 21200,https://www.car.gr/classifieds/cars/view/327707184-volkswagen-amarok?lang=en,Volkswagen,ARGOS,Amarok,21200
4067,  Mitsubishi L200 '15 178 Ps!!4x4!Automatic derma navi klima,20800,01/2015,206657,2477,178,Diesel,Automatic,Crew Cab/Pickup, ARGOS 21200,https://www.car.gr/classifieds/cars/view/327707217-mitsubishi-l200?lang=en,Mitsubishi,ARGOS,L200,21200
4068,  Volkswagen Golf '17 Diesel Euro6d Navi 110ps,13700,01/2017,174996,1600,110,Diesel,Manual,Compact/Hatchback, ARGOS 21200,https://www.car.gr/classifieds/cars/view/330240488-volkswagen-golf?lang=en,Volkswagen,ARGOS,Golf,21200
4069,  Kia Picanto '12 1.0 Sport LED Full Extra!,8790,09/2012,70000,998000,68,Petrol,Manual,Compact/Hatchback, THESSALONIKI 54249,https://www.car.gr/classifieds/cars/view/330850682-kia-picanto?lang=en,Kia,THESSALONIKI,Picanto,54249
4070,  Nissan Qashqai '17  1.6 dCi ΠΑΝΟΡΑΜΑ.AUTOMATIC!!ΝAVI!!,19999,06/2017,194241,1600,136,Diesel,Automatic,4x4/Jeep/Suv, ARGOS 21200,https://www.car.gr/classifieds/cars/view/328159711-nissan-qashqai?lang=en,Nissan,ARGOS,Qashqai,21200
4071,  Daihatsu Sirion '05 1.3,5600,06/2005,78000,1300,91,Petrol,Manual,Compact/Hatchback, ELLINIKO 16777,https://www.car.gr/classifieds/cars/view/322417509-daihatsu-sirion?lang=en,Daihatsu,ELLINIKO,Unknown,16777
4072,  Dacia Sandero '20 Η ΠΙΟ ΠΛΟΥΣΙΑ ΕΚΔΟΣΗ SANDERO!!,13500,01/2020,21145,898000,90,Petrol,Manual,4x4/Jeep/Suv, EPANOMI 57500,https://www.car.gr/classifieds/cars/view/331377532-dacia-sandero?lang=en,Dacia,EPANOMI,Unknown,57500
4073,  Toyota Aygo '19,10400,06/2019,68000,1000,72,Petrol,Manual,Compact/Hatchback, ATHINA 10443,https://www.car.gr/classifieds/cars/view/329250193-toyota-aygo?lang=en,Toyota,ATHINA,Aygo,10443
4074,  Dacia Duster '12,11500,01/2012,142000,1500,110,Diesel,Manual,4x4/Jeep/Suv, ATHINA 10443,https://www.car.gr/classifieds/cars/view/327011990-dacia-duster?lang=en,Dacia,ATHINA,Unknown,10443
4075,  Mercedes-Benz ML 350 '10,17500,03/2010,176000,3500,272,Petrol,Automatic,4x4/Jeep/Suv, PETROYPOLI 13231,https://www.car.gr/classifieds/cars/view/331377530-mercedes-benz-ml-350?lang=en,Mercedes-benz,PETROYPOLI,ML,13231
4076,  Suzuki Alto '11,6200,01/2011,132400,1000,72,Petrol,Manual,Compact/Hatchback, ATHINA 10443,https://www.car.gr/classifieds/cars/view/328878071-suzuki-alto?lang=en,Suzuki,ATHINA,Alto,10443
4077,  Hyundai i 20 '13,7990,11/2013,108000,1200,86,Petrol,Manual,Compact/Hatchback, ATHINA 10443,https://www.car.gr/classifieds/cars/view/330397866-hyundai-i-20?lang=en,Hyundai,ATHINA,Unknown,10443
4078,  Ford Fiesta '12,8900,01/2012,159000,1400,97,Petrol,Automatic,Compact/Hatchback, ATHINA 10443,https://www.car.gr/classifieds/cars/view/330779067-ford-fiesta?lang=en,Ford,ATHINA,Fiesta,10443
